Date,AAPL,AMZN
2014-06-26,20.545339584350586,325.69000244140625
2014-06-27,20.78944206237793,324.57000732421875
2014-06-30,21.004161834716797,324.7799987792969
2014-07-01,21.137508392333984,332.3900146484375
2014-07-02,21.12847137451172,332.8500061035156
2014-07-03,21.252779006958008,337.489990234375
2014-07-07,21.69126319885254,333.54998779296875
2014-07-08,21.551130294799805,323.80999755859375
2014-07-09,21.560169219970703,329.9700012207031
2014-07-10,21.481067657470703,327.9200134277344
2014-07-11,21.52174949645996,346.20001220703125
2014-07-14,21.79975128173828,355.32000732421875
2014-07-15,21.54435157775879,354.44000244140625
2014-07-16,21.422298431396484,355.8999938964844
2014-07-17,21.04032325744629,352.45001220703125
2014-07-18,21.343189239501953,358.6600036621094
2014-07-21,21.232444763183594,359.760009765625
